
Inicio: 01/12/2015 - 21:00:51
Cantidad de luciernagas: 25
B0: 1
Alfa: 1.0
Gamma: 5.5
Numero de iteraciones: 1000
Numero de ejecuciones: 20
Porcentaje de cambio no permitido: 51
Numero de instancias: 32

----------------------------------------------------------
Instancia 	 Min 		 Max 		 Avg
scp41		15617		18178		16967
scp410		15818		18106		17072
scp42		14836		18024		16678
scp43		15829		18097		17025
scp44		15380		18323		17229
scp45		14354		18348		16961
scp46		15736		18757		17678
scp47		15339		17902		16803
scp48		17112		18935		17842
scp49		16283		18873		17667
scp51		32905		38120		36051
scp510		34557		39091		36509
scp52		32287		38963		36230
scp53		31195		36715		34452
scp54		31547		37208		34480
scp55		34073		38581		36443
scp56		33884		38352		35782
scp57		32940		37975		35580
scp58		33263		38349		35650
scp59		33019		38238		35814
scp61		15866		18269		16975
scp62		14713		18129		16822
scp63		15258		18279		16824
scp64		15808		18350		17024
scp65		14909		17960		16973
scpa1		51035		58249		54245
scpa2		50301		58196		54345
scpa3		48718		56376		52975
scpa4		50292		58283		53927
scpa5		49718		57538		53775
scpb1		49811		58096		53833
scpb2		50748		58229		55027
