Instancia 		 Min 		 Max 		 Avg
scp41		17033		17613		17270
scp410		16445		17726		17078
scp42		16561		17618		17348
scp43		17387		17895		17681
scp44		16725		17796		17284
scp45		17162		17631		17397
scp46		17769		18324		18072
scp47		17157		17481		17287
scp48		18126		18554		18256
scp49		17932		18470		18175
scp51		35250		36541		36054
scp510		36564		38068		37194
scp52		36738		37747		37208
scp53		34258		35511		35135
scp54		35710		36172		35932
scp55		36368		37136		36836
scp56		35948		38393		37341
scp57		36390		37338		36748
scp58		35908		37296		36511
scp59		36283		37795		36655
scp61		17026		17756		17396
scp62		17038		17916		17503
scp63		15805		17518		16900
scp64		16821		18131		17514
scp65		16903		17638		17214
scpa1		53658		56106		55298
scpa2		55040		56467		55781
scpa3		54632		55453		55005
scpa4		53895		55518		54748
scpa5		54269		56086		55191
scpb1		53525		56876		55330
scpb2		54393		55827		55142
scpb3		55329		56628		55973
scpb4		54679		55256		54895
scpb5		54510		56480		55356
scpc1		74392		75480		74913
scpc2		72576		74991		73924
scpc3		74555		76773		75895
scpc4		73729		74503		74063
scpc5		74662		75686		75185
scpd1		74479		75880		75280
scpd2		73699		74769		74286
scpd3		74067		76842		75699
scpd4		73113		74582		73884
scpd5		73057		75572		74532
scpnre1		94318		95834		94792
scpnre2		94244		94882		94558
scpnre3		91612		95871		93588
scpnre4		91974		94187		92809
scpnre5		91525		94117		92768
scpnrf1		92723		93917		93136
scpnrf2		91121		95673		93770
scpnrf3		91956		94826		93598
scpnrf4		93047		95583		94556
scpnrf5		94371		96487		95340
scpnrg1		188307		191397		190031
scpnrg2		186065		190992		188449
scpnrg3		189410		191338		190423
scpnrg4		187590		192186		190464
scpnrg5		188568		190575		189528
scpnrh1		188398		191140		189805
scpnrh2		186486		191178		189076
scpnrh3		186665		190761		188712
scpnrh4		185507		188590		187067
scpnrh5		187027		190278		189081
test		50		50		50
